abadetarra,abadetar
txiste,txiste
txistea,txiste
txistularia,txistulari
txitxarra,txitxar
txitxia,txitxi
txoko,txoko
txokoa,txoko
txolartea,txolarte
txorakeria,txorakeria
txoratu,txoratu
txori,txori
txoria,txori
txoriburu,txoriburu
txoroa,txoro
txortaloa,txortalo
txortena,txorten
txukuna,txukun
txukundu,txukundu
txukundua,txukundu
txupatu,txupatu
txupatua,txupatu
udaldia,udaldi
udazkena,udazken
ugaritasuna,ugaritasun
ugaritu,ugaritu
ugaritua,ugaritu
ugertu,ugertu
ukabila,ukabil
ukabilkaria,ukabilkari
ukabilkatu,ukabilkatu
ukabilkatua,ukabilkatu
untxia,untxi
upa,upa
upategia,upategi
upela,upel
urdaiazpikoa,urdaiazpiko
urdaila,urdail
urdandegia,urdandegi
urduna,urdun
urduritu,urduritu
urduritua,urduritu
urperatu,urperatu
urpetu,urpetu
urpetua,urpetu
urratu,urratu
urratua,urratu
urregilea,urregile
urrintsua,urrintsu
urrutiratu,urrutiratu
urrutiratua,urrutiratu
urtarra,urtar
urtetsua,urtetsu
urteurrena,urteurren
urtsua,urtsu
urtzailea,urtzaile
usandu,usandu
usandua,usandu
uztai,uztai
uztaia,uztai
zabaltzailea,zabaltzaile
zabarkeria,zabarkeria
zabarra,zabar
zabua,zabu
zaindu,zaindu
zaintsua,zaintsu
zakur,zakur
zakutoa,zakuto
zalantza,zalantza
zalantzatu,zalantzatu
zalditegi,zalditegi
zaldizkoa,zaldizko
zaldizkoak,zaldizko
zalduntza,zalduntza
zalkea,zalke
zamaua,zamau
zanga,zanga
zanpatu,zanpatu
zanpatua,zanpatu
zantzoa,zantzo
zaparrada,zaparrada
zapi,zapi
zaplada,zaplada
zapuztua,zapuztu
zarpa,zarpa
zarpak,zarpa
zartada,zartada
zartadakoa,zartadako
zatikorra,zatikor
zazpikia,zazpiki
zekorra,zekor
zelaitu,zelaitu
zelaitua,zelaitu
zepa,zepa
zerba,zerba
