LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
sutunpa@zuzendu	sutumpa@zucendu	ſutumpa@zucendu				
aurkeratu	aurqueratu	aurqueratu				
aurketu	aurquetu	aurquetu				
aurkatu	aurcatu	aurcatu				
ziran	ciran	ciran				
aozbildua	aozbildua	aozbildua				
lanberotu	lamberotu	lamberotu				
sargoritu	sargoritu	ſargoritu	sargoritu	sargoritu	sargoritu	sargoritu
sargorituegi	sargorituegui	ſargorituegui				
sargori	sargori	ſargori	sargori	sargori	sargori	sargori
gizona	guizona	guizona	gizon		gizon	gizon
sargoritua	sargoritua	ſargoritua	sargoritu	sargoritu	sargoritu	
sukartua	sucartua	ſucartua			sukartu	sukartu
lanberotua	lamberotua	lamberotua				lanberotu
sargorituegia	sargoritueguia	ſargoritueguia				
belarondoan	belarondoan	belarondoan				
bearriz	bearriz	bearriz				
aldean	aldean	aldean				
jo	jo	jo	jo		jo	jo
bufetatu	bufetatu	bufetatu				
bofetada	bofetada	bofetada				
masaileann	masalleann	maſalleanñ				
joa	joa	joa	jo		jo	jo
bufetatua	bufetatua	bufetatua				bufetatu
Letradunak@darabilten	Letradunac@darabilten	Letradunac@darabilten				
beargaia	beargaya	beargaya				
artekoa	artecoa	artecoa	arteko		arteko	arteko
bitartekoa	bitartecoa	bitartecoa	bitarteko		bitarteko	bitarteko
arartekoa	arartecoa	arartecoa	ararteko		ararteko	ararteko
Yirjina	Yirgina	Yirgiña				
gure	gure	gure				
birtartekoa	birtartecoa	birtartecoa				
letraduna	letraduna	letraduna	letradun		letradun	letradun
auzijarraia	auzijarraya	auzijarraya				
Jurisperito	Jurisperito	Juriſperito				
norbaitegatik	norbaitegatic	norbaitegatic				
eskatu	escatu	eſcatú	eskatu		eskatu	eskatu
norbaitekiko	norbaitequico	norbaitequico				
arteko@izan	arteco@izan	arteco@izan				
auzietan	aucietan	aucietan				
inoren	inoren	iñoren				
fabore	favore	favore	fabore		fabore	fabore
hitzegitea	hitzeguitea	hitzeguitea				
aitonen	aitonen	aitonen				
etorkia	etorquia	etorquia	etorki		etorki	etorki
linaje	linage	linage				
boila	bolla	bollá				boil
boila	boilla	boillá				boil
boilo	bollo	bollo				
aboilatu	abollatu	abollatu				
zakondu	zacondu	zacondu				
zotondu	zotondu	zotondu				
mailatu	mallatu	mallatu	mailatu	mailatu	mailatu	mailatu
maliatu	maliatu	maliatu				
koskatu	coscatu	coſcatu	koskatu		koskatu	koskatu
aboilatua	abollatua	abollatua				
maliatua	maliatua	maliatua				maliatu
mailatua	mallatua	mallatua	mailatu	mailatu	mailatu	mailatu
zakondua	zacondua	zacondua				
zokondua	zocondua	zocondua				zokondu
koskatua	coscatua	coſcatua	koskatu		koskatu	koskatu
aboilatzailea	abollatzallea	abollatzallea				
zakontzailea	zacontzallea	zacontzallea				
zokontzailea	zocontzallea	zocontzallea				
koskatzailea	coscatzallea	coſcatzallea				koskatzaile
maliatzailea	maliatzallea	maliatzallea				
aboilaria	abollaria	abollaria				
zakona	zacona	zacona				
ria	ria	ria				
aboilantza	abollantza	abollantza				
zokona	zocona	zocona				zokon
koska	cosca	coſca	koska		koska	koska
aboilatzea	abollatzea	abollatzea				
zakontzea	zacontzea	zacontzea				
zokontzea	zocontzea	zocontzea				
koskatzea	coscatzea	coſcatzea				
maliatzea	maliatzea	maliatzea				
mailatzea	mallatzea	mallatzea				
boltsatua	bolsatua	bolſatua				
boltsakin	bolsaquin	bolſaquin				
nagatsa	nagatsa	nagatſa				nagats
uabatsa	uabatsa	uabatſa				
nazkagarria	nazcagarria	nazcagarria	nazkagarri	nazkagarri	nazkagarri	nazkagarri
nagagarria	nagagarria	nagagarria				nagagarri
garria	garria	garria	garri			garri
nausea	nausea	nauſea				
baskas	bascas	baſcas				
nazkagarriro	nazcagarriro	nazcagarriro				
nagagarriro	nagagarriro	nagagarriro				
nagatsuro	nagatsuro	nagatſuró				
nazka	nazca	nazca	nazka	nazka	nazka	nazka
naga	naga	naga	naga	naga		
aundi	aundi	aundi				
andi	andi	andi				
dat	dat	dat				
btekoa	btecoa	btecoa				
nga	nga	nga				
batekoa	batecoa	batecoa	bateko		bateko	bateko
nazkatu	nazcatu	nazcatu	nazkatu	nazkatu	nazkatu	nazkatu
nagatu	nagatu	nagatu	nagatu	nagatu		
Nazkatu	Nazcatu	Nazcatu				
nazkatzen	nazcatzen	nazcatzen				
pekatua	pecatua	pecatua	pekatu		pekatu	pekatu
nau	nau	nau				
pekatuak	pecatuac	pecatuác	pekatu		pekatu	pekatu
naskatzen	nascatzen	naſcatzen				
urdakeriak	urdaqueriac	urdaqueriac	urdakeri	urdakeri		
pekatuaz	pecatuaz	pecatuáz				
urdakeriaz	urdaqueriaz	urdaqueriaz				
me	me	me				
ofendo	ofendo	ofendo				
de	de	de	de			
el	el	el	el			
pekado	pecado	pecado				
la	la	la	la			
perkeria	perqueria	perqueria				
abominar	abominar	abominar				
