id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
3308	crocum, -i,	crocum	NOUN	lemma/97015	ONE	NULL
3309	crotalia, -ōrum,	crotalia	NOUN	lemma/97017	ONE	NULL
3310	crotalum, -i,	crotalum	NOUN	lemma/97020	ONE	NULL
3311	cruciāmentum, -i,	cruciamentum	NOUN	lemma/97028	ONE	NULL
3312	cruciātus, -ūs,	cruciatus	NOUN	lemma/97041	ONE	NULL
3313	crucio	crucio	NULL	lemma/97040	*one*	NULL
3314	crūdēlis, -e:	crudelis	NOUN	lemma/97047	*one*	NULL
3315	crūdēlitās, -ātis,	crudelitas	NOUN	lemma/97048	ONE	NULL
3316	crūdesco, —, —	crudesco	VERB	lemma/97049	ONE	NULL
3317	crūditās, -ātis,	cruditas	NOUN	lemma/97050	ONE	NULL
3318	crūdus, -a, -um:	crudus	ADJ	lemma/97054	ONE	NULL
3319	cruento	cruento	NULL	lemma/97056	*one*	NULL
3320	cruentus, -a, -um:	cruentus	ADJ	lemma/97057	ONE	NULL
3321	crumēna, -ae,	crumena	NOUN	lemma/97059	ONE	NULL
3322	cruor, -ōris,	cruor	NOUN	lemma/97061	ONE	NULL
3323	crūs, crūris,	crus	NOUN	lemma/45291,lemma/97066	MANY	NULL
3324	crusta, -ae,	crusta	NOUN	lemma/97070	ONE	NULL
3325	crustularius, -i,	crustularius	NOUN	lemma/97076	ONE	NULL
3326	crustulum, -i,	crustulum	NOUN	lemma/97325	ONE	NULL
3327	crustum, -i,	crustum	NOUN	lemma/97071	ONE	NULL
3328	crux, crucis,	crux	NOUN	lemma/97079	ONE	NULL
3329	crypta, -ae,	crypta	NOUN	lemma/97080	ONE	NULL
3330	cryptoporticus, -ūs,	cryptoporticus	NOUN	lemma/97083	ONE	NULL
3331	crystallinum, -i,	crystallinum	NOUN	lemma/93668	ONE	NULL
3332	crystallinus, -a, -um:	crystallinus	ADJ	lemma/93667	ONE	NULL
3333	crystallum, -i,	crystallum	NOUN	lemma/97090	ONE	NULL
3334	cubiculāris, -e:	cubicularis	NOUN	lemma/97581	*one*	NULL
3335	cubiculārius, -i,	cubicularius	NOUN	lemma/97582	ONE	NULL
3336	cubiculum, -i,	cubiculum	NOUN	lemma/97099	ONE	NULL
3337	cubīle, -is,	cubile	NOUN	lemma/97101	ONE	NULL
3338	cubital, -ālis,	cubital	NOUN	lemma/45346,lemma/97102	MANY	NULL
3339	cubitālis, -e:	cubitalis	NOUN	lemma/97103	*one*	NULL
3340	cubito	cubito	NULL	lemma/97105	*one*	NULL
3341	cubitum, -i,	cubitum	NOUN	lemma/97673	ONE	NULL
3342	cubo, -ui, -itum	cubo	VERB	lemma/97109	ONE	NULL
3343	cuculus, -i,	cuculus	NOUN	lemma/97123	ONE	NULL
3344	cucumis, -eris	cucumis	NOUN	lemma/97129	ONE	NULL
3345	cucurbita, -ae,	cucurbita	NOUN	lemma/97131	ONE	NULL
3346	cucurri	cucurri	NULL	lemma/97139,lemma/97348	*many*	NULL
3347	cūdi	cudi	NULL	lemma/45390,lemma/45392,lemma/45394,lemma/97142	*many*	NULL
3348	cūdo, cūdi, cūsum	cudo	VERB	lemma/97142	ONE	NULL
3349	cūiās, -ātis:	cuias	NOUN	lemma/97145	*one*	NULL
3350	cuius, -a, -um:	cuius	ADJ	lemma/97148	*one*	NULL
3351	culcita, -ae,	culcita	NOUN	lemma/97154	ONE	NULL
3352	culex, -icis,	culex	NOUN	lemma/97159	ONE	NULL
3353	culilla, -ae,	culilla	NOUN	lemma/93671	ONE	NULL
3354	culīna, -ae,	culina	NOUN	lemma/97165	ONE	NULL
3355	culleus, -i,	culleus	NOUN	lemma/97172	ONE	NULL
3356	culmen, -inis,	culmen	NOUN	lemma/97176	ONE	NULL
3357	culmus, -i,	culmus	NOUN	lemma/97180	ONE	NULL
3358	culpa, -ae,	culpa	NOUN	lemma/97183	ONE	NULL
3359	culpo	culpo	NULL	lemma/156769,lemma/97187	*many*	NULL
3360	cultellus, -i,	cultellus	NOUN	lemma/97191	ONE	NULL
3361	culter, -tri,	culter	NOUN	lemma/97193	ONE	NULL
3362	cultio, -ōnis,	cultio	NOUN	lemma/97194	ONE	NULL
3363	cultor, -ōris,	cultor	NOUN	lemma/97195	ONE	NULL
3364	cultrix, -īcis,	cultrix	NOUN	lemma/97198	ONE	NULL
3365	cultūra, -ae,	cultura	NOUN	lemma/97822	ONE	NULL
3366	cultus, -a, -um:	cultus	ADJ	hypolemma/7508	ONE	NULL
3367	cultus, -ūs,	cultus	NOUN	lemma/97670	ONE	NULL
3368	culullus, -i,	culullus	NOUN	lemma/93672	ONE	NULL
3369	cum:	cum	NULL	lemma/97201,lemma/97202,lemma/97207	*many*	NULL
3370	cum:	cum	NULL	lemma/97201,lemma/97202,lemma/97207	*many*	NULL
3371	cumba, -ae,	cumba	NOUN	lemma/97204	ONE	NULL
3372	cumera, -ae,	cumera	NOUN	lemma/97208	ONE	NULL
3373	cumīnum, -i,	cuminum	NOUN	lemma/97212	ONE	NULL
3374	cumprīmis	cumprimis	NULL	lemma/139990	*one*	NULL
3375	cumque	cumque	NULL	lemma/97224	*one*	NULL
3376	cumulo	cumulo	NULL	lemma/97229	*one*	NULL
3377	cumulus, -i,	cumulus	NOUN	lemma/97231	ONE	NULL
3378	cūnābula, -ōrum,	cunabula	NOUN	lemma/140848	ONE	NULL
3379	cūnae, -ārum,	cunae	NOUN	lemma/140849	ONE	NULL
3380	cunctābundus, -a, -um:	cunctabundus	ADJ	lemma/97236	ONE	NULL
3381	cunctans, -antis:	cunctans	NOUN	hypolemma/10200	*one*	NULL
3382	cunctātio, -ōnis,	cunctatio	NOUN	lemma/97240	ONE	NULL
3383	cunctātior, -ius:	cunctatior	ADJ	lemma/97248,lemma/97249	*many*	NULL
