id	qid	text
193	L87177	aculeus, -i, m.: ezten, punta; larritasun; zolitasun, zorroztasun; ziri, ateraldi gordin, sarkasmo; bizkorgarri.
194	L87178	acūmen, -inis, n.: punta, mutur; gailur; zolitasun; pl.: atximurkadak.
195	L87179	acuo, -ui, -ūtum 3: zorroztu; akuilatu, bizkortu, suspertu; oinazetu; areagotu, biziagotu.
196	L87180	acupenser: ikus acipenser.
197	L87181	acus, -ūs, f.: orratz; acu pingere, brodatu.
198	L87182	acūtus, -a, -um:zorrotz, puntazorrotz; ebakitzaile; gordin, zantar; altu, argi (tonua); arriskutsu, arriskugarri; argi, trebe, zoli; zuhur, maltzur, amarrutsu.
199	L87183	ad, prep. ak.: -ra, -rantz, -(en)gana, -(en)ganantz, -en ondoan, -en inguruan; arte, -raino, -(en)ganaino; gutxi gorabehera, inguru; -entzat; -tzera, -tzeko, -rako; -i dagokionez; -en arabera; -en aldean, -kin alderatuz; -z gain.
200	L87184	adactio, -ōnis, f.: konpultsio, bortxa.
201	L87185	adactus, -a, -um: pp., ikus adigo
202	L87186	adaequē, adb.: era berean; adaeque ac: ... bezala.
203	L87187	adaequo1: berdindu (aliquid alicui rei); alderatu, egokitu [cum edo dat.]; iritsi, berdindu (aliquid).
204	L87188	adaggero1: pilatu.
205	L87189	adalligo1: lotu.
206	L87190	adamantēus [eta-tinus], -a, -um: altzairuzko; diamantezko.
207	L87191	adamās, -antis, m.: altzairu; bihotz gogor; diamante.
208	L87192	adamo1: maitatu.
209	L87193	adaperio, -rui, -rtum 4: agerian jarri; ireki.
210	L87194	adapertus, -a, -um: pp., ikus adaperio
211	L87195	adaperui: perf., ikus adaperio
212	L87196	adaquor1: ura hartu, ur bila joan.
213	L87197	adauctus, -a, -um: pp., ikus adaugeo
214	L87198	adaugeo, -auxi, -auctum2: handitu, areagotu, ugaritu.
215	L87199	adaugesco3: hazi.
216	L87200	adauxi: perf., ikus adaugeo
217	L87201	adaxint [ark.]: adegerint[ikus adigo]
218	L87202	adbibo3: edan; busti, blaitu; xurgatu, zurrupatu.
219	L87203	adc-...:ikus acc...
220	L87204	addenseo2: trinkoago egin, trinkotu, loditu.
221	L87205	addīco, -dixi, -dictum 3: aldeko izan (augurio bat); esleitu; a. aliquem in servitutem: norbait esklabo deklaratu; eman, saldu; eskaini, sagaratu.
222	L87206	addictus, -a, -um: pp., ikus addīco
223	L87207	addidi: perf., ikus addo
224	L87208	addidici: perf., ikus addisco
225	L87209	additio, -ōnis, f.: esleipen.
226	L87210	addisco, -didici, — 3 tr.: ikasitakoari gehitu.
227	L87211	additamentum, -i, n.: eranskin, gehigarri.
228	L87212	additus, -a, -um: pp., ikus addo
229	L87213	addixi: perf., ikus addīco
230	L87214	addo, -didi, -ditum 3: elkartu, gehitu, batu; eman, mailegatu, komunikatu, sorrarazi; bizkortu (gradum: ibilera); gaineratu; adde quod: gehitu ezazu ezen.
231	L87215	addoceo, -docui, -doctum 2: irakatsitakoari gehitu.
232	L87216	addubito1: zalantza egin, zalantzan jarri.
233	L87217	addūco, -duxi, -ductum 3: eraman, ekarri, norberarengana bideratu; uzkurtu, zimurtu; mugitu, erabakiarazi, eragin; pas.: jabetu, erabaki.
234	L87218	adductus, -a, -um: pp., ikus addūco. — Adj.: uzkurtu(a), zimurtu(a); serio, larri.
235	L87219	adduxi: perf., ikus addūco
236	L87220	adedo, -ēdi, -ēsum 3: jan; xahutu, gastatu.
237	L87221	adēgi: perf., ikus adigo
238	L87222	adēmi: perf., ikus adimo
239	L87223	ademptio, -ōnis, f.: kentze, ebaste, harrapatze; ebasketa, kenketa, harrapaketa.
240	L87224	ademptus, -a, -um: pp., ikus adimo
241	L87225	adeo, -ii, -itum 4: -ra joan, hurbildu (ad); -ra sartu, -n sartu (in + ak.); kontsultatu; bisitatu; eraso; -i ekin, norberak hartu, -en ardura hartu [ak.]; adire hereditatem: oinordetzan jaso.
242	L87226	adeo, adb.: hala, hain, hainbeste, hainbesteraino; are gehiago; hain zuzen, preseski; bereziki; adeo, ut: halako moldez non...; usque adeo, quoad[eta dum edo donec]: bien bitartean, bitartean, arte; adeo non... ut: ez bakarrik ez... baizik eta.
243	L87227	adeps, -ipis, f.: koipe, mami, gantz.
244	L87228	adeptio, -ōnis, f.: lortze, lorpen, erdiespen.
245	L87229	adeptus, -a, -um: pp., ikus adipiscor
