testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##223	... «Nik dakidan gauzarik ez dadukat zurerik; lotsaturik jarri nuzu, 	ez	 ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##223	... «Nik dakidan gauzarik ez dadukat zurerik; lotsaturik jarri nuzu, 	ez	 ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##224	... «	Ez	 duzula beldurrik, ez dukezu perilik, gure ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##224	... «Ez duzula beldurrik, ez dukezu perilik, gure auzian 	ez	 da izanen ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##224	... «Ez duzula beldurrik, ez dukezu perilik, gure auzian 	ez	 da izanen ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##225	... «	Ez	 dut egin gaizkirik ukeiteko perilik. ez etare ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##225	... «Ez dut egin gaizkirik ukeiteko perilik. 	ez	 etare zerengatik behar dudan auzirik.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##231	... lorik ezin daidit, bihotzian 	ez	 pausurik; haiek biak galdu ditut, amoria, nik ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##233	... derautazu? Nik dakidan lekutarik ni baitara 	ez	 dituzu.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##238	... larruian bada axeter herrian; ene mina sendo ez liro zuk bai	ez	i bizian. ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##251	...etzitela engoitik nitan engana, niri porogurik 	ez	 didazula.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##253	... nitzautzu, niri euztazu, Ene gogoa untsa 	ez	 dakusazu. ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##262	... utzi dazanorrek eskuian duiena nahi duienian 	ez	 dukeiela. Hitzak haribira, dugun egina!» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##268	... hautatu zait begia, nerri orotan gauza oroz 	ez	 du bere paria; othoize bat banegion larradala ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##269	... derizut nik zuri hain segurki; bertzerik nitan ez duk	ez	u abisatzen zitut nik; hazte zoroa nizan ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##271	... gaitz duzu; niri horla erraitia zuri eman 	ez	 duzu; gaixteria egitia laido dela dakizu; ni ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##275	... banitatez niri segur uztazu; probetxurik ez duk	ez	u eta zinets nazazu.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##277	... gutitan adi ezak, nahi baduk, egia Hiretako 	ez	 diadukat gertuz neure buruia.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##278	... oro galdu da; nik zuri hon baderitzut, gaitzi 	ez	 dakizula.» ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##279	... izan daia ni bai dixatakorik? Ni amoriak ez nu maite, nik hura 	ez	in gaitzetsi, uste dizit ...
ez	ez	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##279	... ezin dukedanari; zeren, bada, hon derizat hon 	ez	 deriztanari? ...
