berdindu,berdindú
zelaitu,celaitú
lautu,lautuá
berdindu,berdindua
zelaitu,celaitua
berdintzaile,berdintzallea
meneratu,meneratu
batu,batú
bildu,bildú
batu,batua
bildu,bildua
biribilatu,biribillatua
batzaile,batzállea
biltzaile,biltzállea
jarrai,jarrayac
beste,beſte
arima,arima
meatze,meatzea
lugorri,lugorria
egunari,egunaria
beira belar,beira belarra
igara,igará
zertegi,certeguia
gorde,gordé
bildu,bildu
bildu,bildua
txirl,chirlac
men,mena
almendra,almendra
burdina,burdina
estali,eſtali
bete,beté
almidoatu,almidoatu
enpesatu,empeſatu
almidoatu,almidoatua
enpesatu,empeſatua
almirante,almirantea
buru,burua
buruzagi,buruzaguia
jorrai,jorraya
olio,olio
gazta,gaztá
almirez,almirez
bide zorro,bide zorroa
buruko,burucoa
burupe,burupea
aurdiko,aurdicoa
karatosa,caratoſá
garbitu,garbitu
garbitu,garbitua
gosaldu,goſaldu
gosari,goſaria
ekintza,equinza
zaia,zaya
lakari,lacaria
etzauntza,etzauntza
egoitza,egoitzá
ostatu,oſtatua
etzauntza,etzauntza
atxedenleku,achedenlecua
egaa,egaa
urrundu,vrrundu
urrutiratu,urrutiratú
ezkabia,ezcabia
ardo,ardó
espartingile,eſpartinguillea
abeze,abeceá
baserri,baſerria
etxalde,echaldea
borda,bordá
marro,marroa
banko,banco
alogeratu,alogueratua
alokatu,alocatua
aloger,aloguera
alokairu,alocairua
brea,breá
sukor,ſucorra
pikeztatu,piqueztatu
busti,buſti
pikeztatu,piqueztatua
busti,buſtia
sagubedar,ſagubedarra
aldare,aldarea
aldaretxo,aldarechoa
aldakor,aldacorra
lei,leyá
aldizka,aldizca
aldizkatu,aldizcatua
goi,goia
goiende,goiendea
goi,goiá
goiko,goicoa
goratu,goratua
goititu,goititua
erdietsi,erdietſi
gora,gorá
mintzatu,minzatu
mendiska,mendiſcá
baberrum,baberrumac
txingurri,chingurri
txindurri,chindurri
adierazo,adierazo
adierazi,adieraci
argitzaile,arguitzallea
argitu,arguitu
argi eman,argui eman
argitu,arguitua
eman,emaná
amianto,amianto
asbesto,aſbeſto
ikasle,icáslea
galdu,galdua
adiera,adiera
distiarazi,diſtiaraci
distiarazi,diſtiaracia
ilar,illarra
ilar,ilarra
