cuita,kuita
colchar .,koltxar .
ri bat,ri bat
apaiz laguna,apaiz laguna
apaiz laguntzallea,apaiz laguntzailea
encomendar,enkomendar
zacondú,zakondu
zocondú,zokondu
zacondua,zakondua
zaconá,zakona
macurrár item,makurrar item
zacónera,zakonera
zocónera,zokonera
macrrera,makrrera
zacondu,zakondu
acopilatzea,akopilatzea
eraſo lotzera eguin,eraso lotzera egin
ceraſota,zerasota
acopilatzallea,akopilatzailea
eraſotzea,erasotzea
eraſo era,eraso era
acopilatzea,akopilatzea
oradura,oradura
eraratu,eraratu
norbaiti bere zucenbidea,norbaiti bere zuzenbidea
bere erara,bere erara
ifiuntea,ifiuntea
paratzea,paratzea
norbait zucenbidetzea,norbait zuzenbidetzea
zucen bidetua,zuzen bidetua
bidea emana , zucen bidean ifiñia,bidea emana , zuzen bidean ifinia
bere eraratuá,bere eraratua
alcarganá etorri,alkargana etorri
beſteren erará jarri,besteren erara jarri
beſteren,besteren
berceren gogará ibilli,bertzeren gogara ibili
erari jarrai , ibilli,erari jarrai , ibili
eguraldiaz joan,eguraldiaz joan
eguraldia datorren bezala artu,eguraldia datorren bezala artu
ta eraman,ta eraman
aronz,arontz
acomodagarria,akomodagarria
zuceubidearen gai dana,zuzeubidearen gai dana
erara jártea,erara jartea
comundanza,komundantza
compondura,konpondura
zucendurá,zuzendura
onguidurá,ongidura
onduna,onduna
onez,onez
ondaſunez betea,ondasunez betea
dirutia,dirutia
&c,&k
orbaiti dagocana,orbaiti dagokana
ondó datorquiona,ondo datorkiona
bere echeraño,bere etxerano
lagun eguin cion,lagun egin zion
lagun-eguiiña,lagun-egiina
laguneguillea,lagunegilea
lacuntza,lakuntza
edo gaizqui oitua,edo gaizki oitua
tado,tado
belar pozoiduna,belar pozoiduna
eſindú,esindu
conſejatú,kontsejatu
conſeju eman,kontseju eman
eſondu,esondu
conſejatu izatea , conſeju artzea,kontsejatu izatea , kontseju artzea
conſejutzallea,kontsejutzailea
conſejuemallea,kontsejuemailea
conſolar,kontsolar
acertadú,azertadu
jaz,jaz
garraitetua,garraitetua
biribilca galyurtua,biribilka galddurtua
taláea,talaea
comundatzea,komundatzea
ajuſtatzea,ajustatzea
ol bat beſteari eranſi , erachi berdin , igual,ol bat besteari erantsi , eratxi berdin , igual
eraba-,eraba-
erabaquitza,erabakitza
erabaquitua,erabakitua
acorderazo,akorderazo
oroiterazo,oroiterazo
comutaerazo,komutaerazo
acordaraci,akordarazi
acordatzallea,akordatzailea
comutatæxallea,komutataexailea
acordaria,akordaria
oroitaria,oroitaria
comutaria,komutaria
comutatu izatea,komutatu izatea
gogoan iduqui,gogoan iduki
comutaua,komutaua
oroiterazoa,oroiterazoa
acorderazoa,akorderazoa
comutaracita,komutarazita
comuterazoa,komuterazoa
oroizaena,oroizaena
comutea,komutea
comutatzea,komutatzea
batoſgatu,batosgatu
templatu,tenplatu
era onean paratu,era onean paratu
iñi,ini
ondo templatua,ondo tenplatua
erara dagoena,erara dagoena
aderreztatu,aderreztatu
adarraz jo,adarraz jo
adarráz joá,adarraz joa
