orrolari,orrolaria
listari,liſtaria
orroi,orroya
basoti,baſotia
besakada,beſacada
besaldi,beſaldia
laburketa,laburqueta
brinko,brincoa
brindis,brindiſa
erru,errua
indarti,indartia
errutsu,errutſua
errudun,erruduna
zurdaki,zurdaquia
birikodi,biricodiac
burrukari,burrucari
jario,jario
kondar,condarra
nekaldi,necaldia
aberetar,aberetarra
aberekeria,aberequeria
aberetasun,aberetaſuna
idisko,idiſcoa
bufoikeria,bufoiqueria
zibota,cibota
iskanbila,iſcambilla
iskanbila,iſcambilla
anpulu,ampulua
marrega,marrega
zizelatu,cicelatu
zizelatu,cicelatua
iseka,iſecá
burlagile,burlaguillea
isekari,iſecaria
isekatu,iſecatu
zaldidi,zaldidia
zalditxo,zaldichoa
zalduntxo,zaldunchoa
zalduntza,zalduntza
zalditegi,zalditegui
matxisalto,machiſalto
zaldizko,zaldizcoac
talde,taldea
zerrendatu,cerrendatu
aurdiko,aurdicoa
bilotsu,bilotſua
oinorde,oñordea
txilar,chillarra
antxume,anchumea
akirin,aquirina
alara,alara
muturreko,muturrecoa
goiende,goyendea
irazkai,irazcayac
kafe,cafeá
kafeontzi,cafeontzia
jendedi,gendedia
mokordo,mocordoa
kakategi,cacateguia
kakeria,caqueria
pikorta,picorta
kararri,cararria
kuia,cuiá
bisuts,biſutſa
lekotz,lecotza
ziega,ciegá
autsarri,autſarria
arranpa,arrampa
eiaka,eyaca
burezur,burezurra
galdatu,galdatua
pertz,pertza
maskelu,maſquelua
paziagile,paciaguillea
galdaratxo,galdarachoa
berontzi,berontzia
beroaldi,beroaldia
karobi,carobia
karegile,careguillea
kararri,cararria
isil,iſil
isil,iſillá
isildu,iſildua
salgaizta,ſalgaizta
ojulari,ojularia
galtxuri,galchuriac
kakeria,caqueria
iskira,iſquirac
gameluzai,gameluzaya
gamelu,gamelua
bidaldi,bidaldia
gurdibide,gurdibidea
errebelatu,errebelatu
branda,brandá
zoli,zolia
ziur,ciurra
kanpaetorre,campaetorrea
kanpaegile,campaeguillea
kanpaetxo,campaechoa
txilintxa,chilincha
txerri,cherri
dendatu,dendatu
arraun,arraun
zizeilu,cicellua
saskitxo,ſaſquichoa
otarratxo,otarrachoa
ataurre,ataurrea
zutargi,zutarguia
kriselu,criſelu
balakari,balacaria
bernezur,bernezurra
besazur,beſazurra
gogaikarri,gogaicarria
kantatxo,cantachoa
pegartxo,pegarchoa
lusuil,luſuilla
errauli,erraulia
zenbate,cembatea
zenbate,cembatea
kantatxo,cantachoa
upategi,upateguia
mendarte,mendartea
kanoi,canoyac
sutunpa,ſutumpac
buruki,buruquia
osagile,oſaguillea
txartes,charteſá
elkargo,elcargoa
batzartar,batzartarra
bilguma,bilguma
berezita,berecitá
bekosko,becoſcoa
bekoskodun,becoſcoduna
burutazino,burutacinoa
karabinari,carabinaria
karamelo,carameloa
ikazkin,icazquiña
algara,algará
zurindu,zurindu
zurindu,zurindua
kardari,cardaria
kardatu,cardatu
kardatu,cardatua
bularka,bularca
segail,ſegallá
txit,chit
oniritzi,oniritzia
txarrantxa,charrancha
txikiro,chiquiroa
aratuzte,aratuzteac
saminkor,ſamincorra
zurgintegi,zurguinteguia
burubide,burubidea
orgabide,orgabidea
gurdigile,gurdiguillea
masail,maſalla
kartoi,cartoya
ametz,ametzá
kaskabel,caſcabelá
etxalde,echaldea
hisialdi,hiſialdia
burutaldi,burutaldia
krisket,criſqueta
gazteluzai,gazteluzaya
gaztelar,gaztelarra
akirin,aquirina
lista,liſtá
lauso,lauſoa
kostoma,coſtomá
jakinbide,jaquinbidea
naroro,naroró
aurren,aurrena
izeki,icequia
errakai,erracaya
atxurlari,achurlaria
aitzurlari,aitzurlaria
aitzurle,aitzurlea
lurrunkai,lurruncaya
isilkor,iſilcorra
satitsu,ſatitſua
bezinta,becinta
burmun,burmuna
burmuin,burmuña
lakari,lacaria
zerutar,cerutarra
saskitxo,ſaſquichoa
otarratxo,otarrachoa
lupetza,lupetza
zingira,cinguirá
erraustegi,errauſteguia
autsu,autſua
austun,auſtuna
txingar,chingarra
txingartu,chingartu
zikirio,ciquirioa
seintzain,ſeinzaina
zingila,cinguilla
bekoskodun,becoſcoduna
murritu,murritu
murritu,murritua
burmun,burmuna
burmuin,burmuña
kandelategi,candelateguia
kandelagile,candelaguillea
txermen,chermena
lisiba,lisibá
austontzi,auſtoncia
eralki,eralqui
zetabatu,cetabatu
zero,ceroa
itxiera,ichiera
sarrailagile,ſarrallaguillea
zerratu,cerratu
zerratu,cerratua
guda,gudá
urdintsu,urdintſua
gararnotegi,gararnoteguia
gararnogile,gararnoguillea
gararno,gararnoa
otarregile,otarreguillea
txatar,chatarrá
txukun,chucuna
otsande,otſandea
gizatxar,guizacharra
puskatu,puſcatu
upa,upa
txalupa,chalupa
moldakaitz,moldacaitza
zaparrada,zaparrada
lupetza,lupetza
inautsi,iñautſi
inautsi,iñautſia
murgildu,murguildu
murgildu,murguildua
hitzontzi,hitzontzia
kontz,contzá
arraia,arráya
seintxo,ſeinchoa
txirola,chirola
txirolari,chirolaria
txistulari,chiſtularia
ezerezkeria,ecerezqueria
tximinea,chiminea
buztanikara,buztanicara
txingar,chingarra
txiste,chiſtea
danbatako,dambatacoa
jazar,jazarra
guda,guda
belaunezur,belaunezurra
istingor,iſtingorra
gizatxar,guizacharra
zanpatu,zampatu
lerdatu,lerdatu
txupatu,chupatu
txupatu,chupatua
isekari,iſecaria
arradiza,arradizá
itsuka,itſuca
jakintza,jaquintza
ziertoro,ciertoro
zurdatz,zurdatza
ezkilatxo,ezquillachoa
zimel,cimelá
zizelatu,cicelatu
