elkartu,elcartu
elkartu,elcartua
meneratu,meneratu
eskuperatu,eſcuperatua
meneratu,meneratua
ibeni,ibenia
datorren,datorrena
elkarrekiko,elcarrequicoa
erabili,erabilli
administratu,adminiſtratua
erabili,erabillia
administratzaile,adminiſtratzallea
ekartzaile,ecartzallea
erabiltzaile,erabiltzallea
begirale,beguiralea
begiratze,beguiratzea
miragarri,miragarria
mireste,mireſtea
mirari,miraria
mireskun,mireſcuna
miretsi,miretſi
miretsi,miretſia
mirariztu,mirariztua
miresle,mireslea
ondo,ondó
etartu,etartua
ondu,ondu
obatu,obatu
ondu,ondua
obatu,obatua
ongitu,onguitua
zoi,zoyá
gaztetasun,gaztetaſuna
gaixo,gaisyo
eri,eri
gaixotu,gaisyotu
eritu,eritu
gaizkitu,gaizquitu
nor,norá
euki,euquia
semeztatu,ſemeztatua
gurte,gurtea
adoratu,adoratú
gurtu,gurtu
gur egin,gur eguin
gurkartu,gurcartua
adoratu,adoratua
adoratzaile,adoratzallea
adoragarri,adoragarria
gurgarri,gurgarria
loarazi,loaracia
loakartu,loacartú
loakartu,loacartua
sortu,ſortu
sortatu,ſortatua
hilbezalatu,hilbezalatua
apaindu,apaindú
edertu,edertú
eder,eder
apaindu,apaindua
edertu,edertua
galantu,galantua
eder,eder
galant,galant
apaintzaile,apaintzallea
eder,eder
apaingarri,apaingarria
edergarri,edergarria
apaintze,apaintzea
ederragotu,ederragotu
apaingarri,apaingarri
edergarri,edergarri
edergai,edergaia
hamabikatu,hamabicatua
baltsatu,balſatua
irabazi,irabaci
erakarri,eracarri
bilatu,billatu
irabazi,irabacia
erabazi,erabacia
erakarri,eracarria
bilatu,billatu
ira,ira
ira,ira
erakargarri,eracargarria
bilagarri,billagarria
ira,ira
bilatze,billatzea
aduana,aduaná
peajeleku,peagelecua
txaol,chaolac
zaldabai,zaldabaya
arrazko,arrazcoa
barruti,barrutia
lausengatu,lauſengatu
lausengatu,lauſengatua
lausengari,lauſengaria
losentxari,loſencharia
lausengatzaile,lauſengatzallea
adulterio,adulterioa
nahasi,nahaſsi
gaztetu,gaztetua
erre,errea
sukartu,ſucartua
etorki,etorquia
arrotz,arrotzá
kanpoko,campocoa
etorrera,etorrera
gaitzegoki,gaitzegoquia
atsekabe,atſecabea
etsai,etſaya
arerio,arerioa
arretatu,arretatuá
mezutu,mezutua
arreta,arreta
arta,arta
sen,ſená
kontu,contua
abendu,abendua
dei,deya
izen,icena
izendago,icendagoa
emaguri,emaguria
arraia,arraia
arraitsu,arraitſua
gozatsu,gozatſua
arraitu,arraitu
gozatu,gozatu
famatu,famatuá
omendu,omendua
famatu,famatú
omendu,omendu
omendari,omendaria
egile,eguillea
neke,nequeá
lan,laná
bear,bearrá
nekatu,necatu
jardun,jardun
ekin,equin
nekatu,necatua
arikatu,aricatua
egin,eguin
itsusitu,itſuſitu
itsuskitu,itſuſquitua
ezaindu,ezaindua
narriatu,narriatua
itsustari,itſuſtaria
itsuskitzaile,itſuſquitzallea
gogotsu,gogotſua
amodiotsu,amodiotſua
apaintze,apaintzea
apaindu,apaindua
edertu,edertua
bizarra kendu,bizarra quendú
egin,eguin
kendu,quendua
bizargile,bizarguillea
iletsu,illetſua
emakumetu,emacumetu
emakumetu,emacumetua
emaztetu,emaztetua
gisa,guiſá
eutsi,eutſi
itsatsi,itſatſi
kako,cacoac
itsatsi,itſatſia
lotzaile,lotzallea
itsatsi,itſatſia
itxeki,ichequia
eltze,eltzea
itxekitze,ichequitzea
itsaskun,itſaſcuna
irakin,iraquin
berotu,berotú
gartu,gartú
segurutu,ſegurutua
fermutu,fermutua
estutu,eſtutua
eman,eman
eman,emaná
emaile,emallea
ederreste,ederreſtea
amodio,amodioa
ekarrai,ecarraia
jaiera,jayera
zaletu,zaletú
laket izan,laquet izan
ederretsi,ederretſi
ekarrai,ecarraia
jaiera,jayera
ederretsi,ederretſia
jaieratu,jaieratua
jaiera,jaiera
zorroztu,zorroztú
zorroztu,zorroztua
zimeatu,cimeatua
zorroztari,zorroztaria
zimeatzaile,cimeatzallea
zorrotzaile,zorrotzallea
ergel,erguelá
zimarri,cimarria
garbitu,garbitua
beregandu,beregandua
berezi,berecia
maneatzaile,maneatzallea
baieztu,bayeztú
baieztatu,bayeztatú
baieztu,bayeztuá
baieztatu,bayeztatua
baieztu,bayeztu
baietz,bayetzá
baiezko,bayezcoa
agertze,aguertzea
atsekabetu,atſecabetu
larritu,larritu
estutu,eſtutu
atsekabetu,atſecabetua
