EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
alboratua	alboratua	alboratua			alboratu	alboratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alboratu
ertzatzea	ertzatzea	ertzatzea					
ertzaera	ertzaera	ertzaera					
gorrotatu	gorrotatu	gorrotatu	gorrotatu		gorrotatu	gorrotatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorrotatu
gaitzetsi	gaitzetsi	gaitzetſi	gaitzetsi		gaitzetsi	gaitzetsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaitzetsi
higindu	higuindu	higuindu					
gorrotoa	gorrotoa	gorrotoa	gorroto		gorroto	gorroto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorroto
gaitserizkoa	gaitserizcoa	gaitſerizcoa					
gaitziriztea izan	gaitziriztea izan	gaitziriztea izan					
iduki	iduqui	iduqui					
gorrotatua	gorrotatua	gorrotatua	gorrotatu		gorrotatu	gorrotatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorrotatu
gaitzesia	gaitzesia	gaitzeſia					
gaitzesitua	gaitzesitua	gaitzeſitua					
gorrotagarria	gorrotagarria	gorrotagarria	gorrotagarri		gorrotagarri	gorrotagarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorrotagarri
gaitzetsigarria	gaitzetsigarria	gaitzetſigarria	gaitzetsigarri	gaitzetsigarri			
erabea	erabea	erabea				erabe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erabe
gorrotoa	gorrotoa	gorrotoa	gorroto		gorroto	gorroto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gorroto
