arrandegi,arrandeguia
berezi,bereci
ilki,ilqui
sotarri,ſotarria
mugarritu,mugarritu
mug,mugac
marratu,marratú
ezagutu,ezagutu
txingor,chingorra
egoki,egoqui
deigarri,deigarria
larru,larruac
ondu,ondú
bildu,bildua
izengoiti,icengoitia
ondo,ondó
ongi,onguí
hurren,hurren
mastrikatu,maſtricatu
mastrikatu,maſtricatua
irozgarri,irozgarriac
prestamen,preſtamena
gaztigu,gaztigua
prestatu,preſtatu
euki,euqui
prestatu,preſtatua
garbitzaile,garbitzallea
itsatsi,itſatſi
itsatsi,itſatſia
etxola,echola
nekatu,necatu
aunatu,aunatu
unatu,vnatu
nekatu,necatua
urrikitu,urriquitu
tristatu,triſtatu
urrikitu,urriquitua
tristatu,triſtatua
izurritu,izurritu
izurritu,izurritua
kirats,quiratſ
zaletu,zaletua
gogo,gogoa
zale,zalea
errukitu,erruquitu
erruki,erruquia
izan,izan
euki,euqui
gai,gaia
tontor,tontorra
pilatu,pillatua
elkarganatu,elcarganatu
bildu,bildua
batu,batua
elkarganatu,elcarganatua
tu,tu
trinkatu,trincatu
jo,jo
estutu,eſtutu
emagarri,emagarria
gozagarri,gozagarria
gozatu,gozatu
samurtu,ſamurtu
gozatu,gozatua
oniritzi,oniritzi
lautu,lautú
berdindu,berdindu
lautu,lautua
berdindu,berdindua
erori,erori
jauzi,jauzi
alderatu,alderatu
alboratu,alboratu
urreratu,urreratu
paratu,paratu
osatu,oſatu
gutitu,gutitua
urritu,urritua
meneratu,meneratu
meneratu,meneratua
ezizen,ecicena
sits,ſitſac
erantzuki,eranzuquia
alper,alperrá
nagitu,naguitua
ezetz,ezetza
jotze,jotzea
ugari,ugari
zain,zaina
ostatu,oſtatua
etzauntza,etzauntza
