LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
abogacia	abogacia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogacia	Letradunac@darabilten beargaya
abogada	abogada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogada	artecoa, bitartecoa, arartecoa, Yirgiña da gure birtartecoa
abogado	abogado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogado	letraduna, auzijarraya, Jurisperito
abogador	abogador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogador	
abogador	abogador2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogador2	
abogar	abogar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogar	norbaitegatic escatú, norbaitequico arteco@izan, eguin, nai, cera, &c
abogar	abogar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abogar2	aucietan iñoren favore hitzeguitea
abolengo	abolengo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abolengo	aitonen etorquia, linage
aboler	aboler	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aboler	
abollar	abollar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abollar	bollá, boillá, bollo
abollar	abollar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abollar2	abollatu, zacondu, zotondu, mallatu, maliatu, coscatu
abollado	abollado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abollado	abollatua, maliatua, mallatua, zacondua, zocondua, coscatua
abollador	abollador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abollador	abollatzallea, zacontzallea, zocontzallea, coscatzallea, maliatzallea, abollaria, zacona ria, &c
abolladura	abolladura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abolladura	abollantza, zacona, zocona, cosca, abollatzea, zacontzea, zocontzea, coscatzea, maliatzea, mallatzea
aboslonar	aboslonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aboslonar	
abolsado	abolsado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abolsado	bolsatua, bolsaquin dagoana
abominable	abominable	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abominable	nagatsa, uabatsa, nazcagarria, nagagarria, garria, nausea, bascas
abominablemente	abominablemente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abominablemente	nazcagarriro, nagagarriro, nagatsuró
abominacion	abominacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abominacion	nazca, naga, nazca aundi bat da, naga andi bat dat, nazca aundi btecoa da, nga aundi batecoa da
abominar	abominar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abominar	nazcatu, nagatu, Nazcatu, nagatu, nazcatzen det pecatua, nazcatzen nau pecatuác, nascatzen nau urdaqueriac, nazcatzen naiz pecatuáz, urdaqueriaz, me ofendo mucho de el pecado, de la perqueria, abominar
abonanza	abonanza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonanza	
abonanzar	abonanzar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonanzar	eguraldia ondu, ondotu, onguitu, malsotu
abonar	abonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonar	cimaurtú, iñaurquindu, basaratú, estercolar
abonar	abonar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonar2	ontzatú, ontzát emán, ontzatu cion cóntuetan diru hurá, ontzat artu cion, eztu iñoren ontzateren bearric, oneguitu, oneguitzat eman
abonado	abonado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonado	cimaurtua, gorotzatua, iñaurquindua, basaratua, &c
abono	abono	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abono	ngarria
abondamiento	abondamiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abondamiento	abundamiento, abundar
abondo	abondo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abondo	iorí, ugari, naroró
abono	abono2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abono2	Cimaurrá, iñaurqui-
abonador	abonador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abonador	cimaurlea, cimaurtzallea, &c
abordar	abordar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abordar	borde, bordo
abordar	abordar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abordar2	ontzi bat besteari alderatzea, alboratzea, ta ertzaz ertzari dichecala jartea, ertzatu, ertzatu dirade
abordado	abordado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abordado	ertzatua, ertzaz ertzari alderatua, alboratua
abordo	abordo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abordo	ertzatzea, ertzaera, bordo, ontzian egotea, ontzira joatea
abordonar	abordonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abordonar	bordonear
aborrecer	aborrecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrecer	gorrotatu, gaitzetsi, higuindu, gorrotoa, gaitserizcoa, gaitziriztea izan, iduqui, gorrotatzen nazu, gorrotatzen zaitut gaitzesten nazu, gaitzesten zaitut, górrotoa, gaitzerizcoa, gaitziriztea didazu, gorrotoa, gaitzerizcoa, gaitziriztea dizut
aborrecido	aborrecido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrecido	gorrotatua, gaitzesia, gaitzesitua
aborrecible	aborrecible	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrecible	gorrotagarria, gaitzetsigarria
aborrecible	aborrecible2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrecible2	erabea, au da nere erabea
aborrecimiento	aborrecimiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrecimiento	gorrotoa, gaitzerizcoa, gaitzerestea, gaiztesiera, igoria
aborrir	aborrir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborrir	
abortar	abortar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abortar	borta
abortar	abortar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abortar2	bertiztu, bertitzá eguin, bertitzaz erditzea, mugaitzean erditzea, aurra, seiiña eguitea, humea botatzea, ascotan humea@bota du, edariac arzen ditu humea botatzeco, gaizqui erditzeco, bertizteco
abortivo	abortivo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abortivo	bertitzá, mugaitzean jaioa, sortua, hume botatua
aborto	aborto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborto	bertitzá, erditze gaitza, hume botatzea
aborton	aborton	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aborton	
abortones	abortones	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abortones	
abotagarse	abotagarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abotagarse	uanditu, buyasu
abotagado	abotagado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abotagado	uanditua, buyatua
