LAR_LEMMA	EGOKITUA	SARASOLA
aheria	aheria	aheria
ahialea	ahialea	0
ahomaren leteguiduna	ahomaren letegiduna	0
ahondar	ahondar	0
ahorratua	ahorratua	0
ahorratzallea	ahorratzailea	0
ahorrua	ahorrua	0
ahozpeaca	ahozpeaka	0
ahula	ahula	ahul
ahuldu	ahuldu	ahuldu
ahumada	ahumada	0
ahumenchoa	ahumentxoa	0
ahurra	ahurra	0
ahuyentar	ahuientar	0
aiaear	aiaear	0
aiaria	aiaria	0
aice	aize	0
aicea	aizea	0
aiceac botatu	aizeac botatu	0
aicea ibilli	aizea ibili	0
aicea iEilli	aizea iEili	0
aiceartzalle	aizeartzaile	0
aiceaz leortu	aizeaz leortu	0
aice bat	aize bat	0
aice bu humba	aize bu hunba	0
aice buhunba	aize buhunba	0
aice-buhunmba	aize-buhunnba	0
aicebumbada	aizebunbada	0
aicechoa	aizetxoa	0
aicecho goisoa	aizetxo goisoa	0
aice emallea	aize emailea	0
aice guillea	aize gilea	0
aiceguin	aizegin	aizegin
aice iragacia	aize iragazia	0
aiceman	aizeman	aizeman
aicetorquia	aizetorkia	0
aicetsua	aizetsua	0
aicetu	aizetu	0
aicez bete	aizez bete	0
aiceztaria	aizeztaria	0
aiceztatu	aizeztatu	0
aiceztatzea	aizeztatzea	0
aiceztea	aizeztea	0
aiceztu	aizeztu	0
aidagoa	aidagoa	0
aidatu	aidatu	0
aidea	aidea	0
aideac	aideak	0
aide anciñacoa	aide antzinakoa	0
aidebatza	aidebatza	0
aidegoquia	aidegokia	0
aidetasuna	aidetasuna	aidetasun
aidetu	aidetu	aidetu
aidetua	aidetua	aidetu
aide urcoac	aide urkoak	0
aidurqui	aidurki	0
aidurra	aidurra	0
aiena	aiena	0
aiendú	aiendú	0
aiestrearen goyendea	aiestrearen goiendea	0
aiidacorra	aiidakorra	0
áiiza-	áiiza-	0
áildallua	áildailua	0
ailisa	ailisa	ailis
aimbacho aimbestecho	ainbatxo ainbestetxo	0
aimbandea	ainbandea	0
aimbandu	ainbandu	ainbandu
aimbandua	ainbandua	ainbandu
aimbastundu	ainbastundu	0
aimbastunecoac	ainbastunekoak	0
aimbat	ainbat	ainbat
aimbatarra	ainbatarra	0
aimbatda	ainbatda	0
aimbatea	ainbatea	0
aimbatecoa	ainbatekoa	0
aimbatequiro	ainbatekiro	0
aimbatetu	ainbatetu	0
aimbatetua	ainbatetua	0
aimbatez ambat	ainbatez anbat	0
aimbeste	ainbeste	0
aimbestez aimbeste	ainbestez ainbeste	0
aiñalda	ainalda	0
aiñaldasquiro	ainaldaskiro	0
aiñaldastea	ainaldastea	0
aiñ andia	ain andia	0
ainciran	aintziran	0
ainciratsua	aintziratsua	0
ainciratu	aintziratu	0
ainduna	ainduna	0
aindurriná	aindurriná	0
aingueru bedarra	aingeru bedarra	0
aingueruchoa	aingerutxoa	aingerutxo
ainguerutarra	aingerutarra	0
ainguerutú	aingerutú	0
ainguerutzarra	aingerutzarra	0
ainguirá	aingirá	0
aingura	aingura	aingura
aingurac alcha	aingurac altxa	0
aingurac bota	aingurac bota	0
aingurae jasó	aingurae jasó	0
aingura lotu	aingura lotu	0
aingura saria	aingura saria	0
ainguratu	ainguratu	ainguratu
ainguratua	ainguratua	ainguratu
ainhara	ainhara	ainhara
aintzataria	aintzataria	0
aintzatu	aintzatu	aintzatu
aintzatua	aintzatua	aintzatu
aintzindea	aintzindea	0
aintzira	aintzira	aintzira
aintzirachoa	aintziratxoa	0
aintziratsua	aintziratsua	0
aintziratua	aintziratua	0
ainzurrá	aintzurrá	0
aipa	aipa	0
aipabia	aipabia	0
aipaera	aipaera	0
aipalea	aipalea	0
aipamena goguibea	aipamena gogibea	0
aipatu	aipatu	aipatu
aipatua	aipatua	aipatu
aipbamena	aipbamena	0
aiqdatu	aiqdatu	0
aiquidatu	aikidatu	0
airean	airean	0
airepisuaren neurria	airepisuaren neurria	0
airguea	airgea	0
airosa	airosa	airos
airulecua	airulekua	0
aisa	aisa	aisa
aisá	aisá	0
aisacondaira	aisakondaira	0
aisacondairac esatea	aisakondairac esatea	0
aisa condairaquiña	aisa kondairakina	0
aisaera	aisaera	0
aisala	aisala	0
aisalcorra	aisalkorra	0
aisaldarra	aisaldarra	0
aisaletic	aisaletik	0
aisatu	aisatu	aisatu
aiserre	aiserre	0
aisolduria	aisolduria	0
aisolduro	aisolduro	0
aispa	aispa	0
aisurteguia	aisurtegia	0
Aita	Aita	0
aita	aita	aita
aitabichia	aitabitxia	aitabitxi
aitabichiquida	aitabitxikida	0
aitabisaba	aitabisaba	aitabisaba
aitagaletu	aitagaletu	0
aitaganicaco aidetasuna	aitaganikako aidetasuna	0
aitagoa O	aitagoa O	0
aitagoquia	aitagokia	0
aitagoya	aitagoia	aitagoi
aita guiarraba	aita giarraba	0
aitaguilletu	aitagiletu	0
aitaideac	aitaideak	0
aitaideera	aitaideera	0
aitaideera arrazá	aitaideera arrazá	0
aitaidera	aitaidera	0
aitalena	aitalena	aitalen
aitalenaren goyendea	aitalenaren goiendea	0
aitalendarra	aitalendarra	0
aitamena	aitamena	aitamen
aita-menea	aita-menea	0
aitanagusia	aitanagusia	0
aitansitia	aitansitia	0
aitaonen seémeen alcateá	aitaonen seémeen alkateá	0
aitaponteco	aitaponteko	0
aitapontequida	aitapontekida	0
aitaquidaera	aitakidaera	0
aitaquidagoa	aitakidagoa	0
aitaquidea	aitakidea	aitakide
aitaquigoa	aitakigoa	0
aitarena	aitarena	aitaren
aitaren antza izan	aitaren antza izan	0
aitaren iltzallea	aitaren iltzailea	0
aitaren iltzea	aitaren iltzea	0
aitarra	aitarra	0
aitasaba	aitasaba	aitasaba
aitasoa	aitasoa	aitaso
aitatasuna	aitatasuna	aitatasun
aitatsua	aitatsua	0
aitatu	aitatu	aitatu
aitatu aipatu	aitatu aipatu	0
aitaurrena	aitaurrena	aitaurren
aite bumbden	aite bunbden	0
áiteguia	áitegia	0
aiten aita quidea	aiten aita kidea	0
aitezarlea	aitezarlea	0
aitezarri	aitezarri	0
aitezarria	aitezarria	0
aitizquia	aitizkia	0
aitona	aitona	aitona
aitona erena	aitona erena	0
aitonen etorquia	aitonen etorkia	0
aitonen se	aitonen se	0
aitonen semea	aitonen semea	0
aitorcunteguia	aitorkuntegia	0
aitorcuuá	aitorkuuá	0
aitordea	aitordea	aitorde
aitorensomea	aitorensomea	0
aitorgnmea	aitorgnmea	0
aitorgoá	aitorgoá	0
aitorgoteguia	aitorgotegia	0
aitorquidalea	aitorkidalea	0
