LAR_LEMMA	UNIDECODE	EGOKITUA	SARASOLA	SARASOLA1745	WIKIDATA
adrilluz equidatu	adrilluz equidatu	adriluz ekidatu			
adrilluzco ormac eguin	adrilluzco ormac eguin	adriluzko ormac egin			
aduana	aduana	aduana	aduana	aduana	aduana
aduaná	aduana	aduana	aduana	aduana	aduana
aduanazaya	aduanazaya	aduanazaia			
adular	adular	adular			
adulterioa	adulterioa	adulterioa	adulterio		adulterio
adulteroa	adulteroa	adulteroa			
aduste	aduste	aduste			
adustea	adustea	adustea			
aecganatu	aecganatu	aecganatu			
aegradarle	aegradarle	aegradarle			
aeguindea	aeguindea	aegindea			
æincaiztu	aeincaiztu	aeinkaiztu			
aen	aen	aen			
aenganatu	aenganatu	aenganatu			
æves	aeves	aebes			
aezquia	aezquia	aezkia			
afable	afable	afable			
afaindu	afaindu	afaindu			
afaintzea	afaintzea	afaintzea			
Afalteguia	Afalteguia	Afaltegia			
afalteguia	afalteguia	afaltegia	afaltegi		afaltegi
afaria	afaria	afaria	afari		afari
afarusia	afarusia	afarusia	afarusi	afarusi	
afear	afear	afear			
afectacion	afectacion	afectazion			
afer	afer	afer	afer		
afespicuquidea	afespicuquidea	afespikukidea			
afianzar	afianzar	afiantzar			
afistolado	afistolado	afistolado			
afligido	afligido	aflijido			
afquitatu	afquitatu	afkitatu			
Africarra	Africarra	Afrikarra			
afsigir	afsigir	afsijir			
afsorro	afsorro	afsorro			
aftigir	aftigir	aftijir			
aftitzea	aftitzea	aftitzea			
aftuto	aftuto	aftuto			
agaatu	agaatu	agaatu			
agaatua	agaatua	agaatua			
agaaz	agaaz	agaaz			
agaaz porrocatu	agaaz porrocatu	agaaz porrokatu			
agaaz porrocatua	agaaz porrocatua	agaaz porrokatua			
agacada	agacada	agakada			
agacaria	agacaria	agakaria			
agada	agada	agada			
agadia	agadia	agadia			
agai-	agai-	agai-			
agaidia	agaidia	agaidia			
agaisartu	agaisartu	agaisartu			
agaisartua	agaisartua	agaisartua			
agaitea	agaitea	agaitea			
agaitu	agaitu	agaitu			
agaitua	agaitua	agaitua			
aganatu	aganatu	aganatu			
agapurua	agapurua	agapurua			
agapurucada	agapurucada	agapurukada			
agapuruzaya	agapuruzaya	agapuruzaia			
agarrar	agarrar	agarrar			
agasa-	agasa-	agasa-			
agasajatua	agasajatua	agasajatua			
agasajatzallea	agasajatzallea	agasajatzailea			
agasajatzea	agasajatzea	agasajatzea			
agasajo	agasajo	agasajo	agasajo		
agata	agata	agata	agata	agata	agata
agateguia	agateguia	agategia			
agauaria	agauaria	agauaria			
agayaz	agayaz	agaiaz			
agnusa	agnusa	agnusa			
ago	ago	ago			
agoan	agoan	agoan			
agoan jarri	agoan jarri	agoan jarri			
agoandea	agoandea	agoandea			
agoantatu	agoantatu	agoantatu			
agoantegarria	agoantegarria	agoantegarria			
agoranduro	agoranduro	agoranduro			
agorcaya	agorcaya	agorkaia			
agorra	agorra	agorra			
agorrilla	agorrilla	agorrila	agorril		
agorrilquia	agorrilquia	agorrilkia			
agortasuna	agortasuna	agortasuna	agortasun		agortasun
agortezgarria leorteciña	agortezgarria leortecina	agortezgarria leortezina			
agortua	agortua	agortua	agortu		agortu
agradatu	agradatu	agradatu	agradatu		
agravio	agravio	agrabio	agrabio		
agripea	agripea	agripea			
agripecoa	agripecoa	agripekoa			
agripequiro	agripequiro	agripekiro			
agripequiró	agripequiro	agripekiro			
agripero	agripero	agripero			
agriperó	agripero	agripero			
agripetu	agripetu	agripetu			
agripetua	agripetua	agripetua			
agripetzallea	agripetzallea	agripetzailea			
agripetzea	agripetzea	agripetzea			
agua	agua	agua	agu		
aguapie	aguapie	aguapie			
agud	agud	agud			
agudeza	agudeza	agudeza			
agudo	agudo	agudo	agudo		agudo
agudó	agudo	agudo	agudo		agudo
aguederra	aguederra	agederra			
aguercaya	aguercaya	agerkaia	agerkai	agerkai	agerkai
agueri	agueri	ageri	ageri		ageri
agueria	agueria	ageria	ageri		ageri
aguerian	aguerian	agerian	agerian		
aguericho	aguericho	ageritxo			
aguerindea	aguerindea	agerindea			
agueriro	agueriro	ageriro			
aguerlea	aguerlea	agerlea	agerle	agerle	
aguerpena	aguerpena	agerpena	agerpen		agerpen
aguerqueta	aguerqueta	agerketa	agerketa	agerketa	
aguerquida	aguerquida	agerkida			
aguerquidatu	aguerquidatu	agerkidatu			
aguerquidea	aguerquidea	agerkidea			
aguerquiro	aguerquiro	agerkiro			
aguerrerazlea	aguerrerazlea	agerrerazlea			
aguerreraztea	aguerreraztea	agerreraztea			
aguerria	aguerria	agerria	agerri		
aguerrian	aguerrian	agerrian	agerrian		
aguerriro	aguerriro	agerriro			
aguerriró	aguerriro	agerriro			
aguertaraci	aguertaraci	agertarazi	agertarazi	agertarazi	
aguertaria	aguertaria	agertaria			
aguertea	aguertea	agertea			
aguertu	aguertu	agertu	agertu		agertu
aguertú	aguertu	agertu	agertu		agertu
aguertua	aguertua	agertua	agertu		agertu
aguertuá	aguertua	agertua	agertu		agertu
aguertucho bat	aguertucho bat	agertutxo bat			
aguertzallea	aguertzallea	agertzailea	agertzaile		
aguertzea	aguertzea	agertzea			agertze
aguetua	aguetua	agetua			
aguiá	aguia	agia	agi		
aguiá cerbaitena izan	aguia cerbaitena izan	agia zerbaitena izan			
aguian	aguian	agian	agian		agian
aguicurra	aguicurra	agikurra			
aguin ,aguindn	aguin ,aguindn	agin ,agindn			
aguin-	aguin-	agin-			
aguinaldoa	aguinaldoa	aginaldoa			
aguinbaguetua	aguinbaguetua	aginbagetua			
aguindaria	aguindaria	agindaria			
aguinde emallea	aguinde emallea	aginde emailea			
aguindea	aguindea	agindea	aginde	aginde	
aguindecoa	aguindecoa	agindekoa			
aguindeduna	aguindeduna	agindeduna			
aguindepean	aguindepean	agindepean			
aguindetia	aguindetia	agindetia			
aguindetiro	aguindetiro	agindetiro			
aguindetsua	aguindetsua	agindetsua			
aguindu	aguindu	agindu	agindu		agindu
aguindua	aguindua	agindua	agindu		agindu
aguinic baguea	aguinic baguea	aginic bagea			
aguinsacalea	aguinsacalea	agintsakalea			
aguinsacaya	aguinsacaya	agintsakaia			
