LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
azotatu	azotatu	azotatú	azotatu		azotatu	azotatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azotatu
zinganatu	cinganatu	cinganatu					
astia	astia	aſtia	asti		asti	asti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asti
zealdua	cealdua	cealdua					
azotea	azotea	azotea	azote		azote	azote	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azote
zeala	ceala	ceala				zeal	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zeal
asitikaia	asiticaya	aſiticaya					
azotekia	azotequia	azotequia					
zealkia	cealquia	cealquia					
galantak eraman ditu	galantac eraman ditu	galantac eraman ditu					
azotaldia	azotaldia	azotaldia	azotaldi	azotaldi		azotaldi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azotaldi
sabai	sabai	ſabai	sabai	sabai	sabai	sabai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sabai
sapai agerria	sapai aguerria	ſapai aguerria					
azuda	azuda	azuda					
azukrea	azucrea	azucrea	azukre		azukre	azukre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azukre
azukre ezkurra	azucre ezcurra	azucre ezcurra					
azukrezko gogorpila	azucrezco gogorpilla	azucrezco gogorpilla					
azukre arroa	azucre arroa	azucre arroá					
azukretu	azucretu	azucretu					
azukrez estali	azucrez estali	azucrez eſtali					
gaindu	gaindu	gaindu	gaindu				
gaintxuriskatu	gainchuriscatu	gainchuriſcatu					
azukretua	azucretua	azucretua				azukretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azukretu
azukrez estalia	azucrez estalia	azucrez eſtalia					
azukre-ontzia	azucre-ontzia	azucre-ontzia					
zuzena	zucena	zucená	zuzen		zuzen	zuzen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zuzen
Azuzena	Azucena	Azucená					
azuga	azuga	azugá					
atzura	atzura	atzura					
azura	azura	azura					
ura	ura	ura	ur		ur	ur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ur
trabesa	trabesa	trabeſa	trabes	trabes	trabes	trabes	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trabes
zeioa	ceyoa	ceyoa			zeio	zeio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zeio
upatxurra	upachurra	upachurra				upatxur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=upatxur
azufaifea	azufaifea	azufaifea					
kereisantza	quereisanza	quereiſanza					
lurrinkaia	lurrincaya	lurrincaya	lurrinkai	lurrinkai			
lurrunkaia	lurruncaya	lurruncaya	lurrunkai	lurrunkai			
sufrea	sufrea	ſufrea	sufre		sufre	sufre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sufre
sufretu	sufretu	ſufretu					
sufreztu	sufreztu	ſufreztu					
sufsretua	sufsretua	ſufſretua					
urdina	urdiña	urdiña	urdin		urdin	urdin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urdin
urdina	urdina	urdina	urdin		urdin	urdin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urdin
urdindu	urdindu	urdindu	urdindu		urdindu	urdindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urdindu
urdindua	urdindua	urdindua	urdindu		urdindu	urdindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urdindu
urdinarra	urdiñarra	urdiñarra					
pitxerraz neurtua	picherraz neurtua	picherraz neurtua					
pitxertua	pichertua	pichertua				pitxertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pitxertu
pitxerra	picherra	picherra	pitxer		pitxer	pitxer	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pitxer
otxaba	ochaba	ochaba					
azomar	azomar	azomar					
legami bagea	legami baguea	legami baguea					
erdea	erdea	erdea					
lingerda	linguerda	linguerda	lingerda	lingerda			
adurra elderra	adurra elderra	adurra elderra					
girlia lerdea	guirlia lerdea	guirlia lerdea					
girlia	guirlia	guirlia					
elderra jario	elderra jario	elderra jario					
dariot	dariot	dariot					
dariozu	dariozu	dariozu					
dario	dario	dario					
barautsaa	barautsaa	barautſaá					
babosear	babosear	baboſear					
erdoiala	erdoyala	erdoyala					
lerdeuna	lerdeuna	lerdeuna					
gilartzea	guilartzea	guilartzea					
babosa	babosa	baboſa					
baba	baba	babá	baba		baba	baba	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baba
zorro	zorro	zorro	zorro		zorro	zorro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zorro
babazorros	babazorros	babazorros					
girli-@jarioa	guirli-@jarioa	guirli-@jarioa					
elder jarioa	elder jarioa	elder jarioa				elder jario	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=elder jario
okozkia	ocozquia	ocozquia					
kokozkia	cocozquia	cocozquia					
tonto	tonto	tonto	tonto		tonto	tonto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tonto
babador	babador	babador					
oarkabez egon	oarcabez egon	oarcabez egon					
besteri itxeki	besteri ichequi	beſteri ichequi					
Oi agoka	Oi agoca	Oi agoca					
edo besteri	edo besteri	edo beſteri					
ala zeritzan	ala ceritzan	ala ceritzan					
zaldiari baina diogunean	zaldiari baña diogunean	zaldiari baña diogunean					
esan nai degu	esan nai degu	eſan nai degu					
gelbera ilaun	guelbera illaun	guelbera illaun					
motel	motel	motel	motel		motel	motel	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=motel
geisantxa bat dala	gueisancha bat dala	gueiſancha bat dala					
nasila bat	nasilla bat	naſilla bat					
naasmen bat da	naasmen bat da	naaſmen bat da					
barea	barea	barea	bare		bare	bare	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bare
kutsatu	cutsatu	cutſatu	kutsatu		kutsatu	kutsatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kutsatu
kutsua	cutsua	cutſua	kutsu		kutsu	kutsu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kutsu
zure kutsua jango	zure cutsua jango	zure cutſua jango					
edango det	edango det	edango det					
girliatua	guirliatua	guirliatua					
girliaz	guirliaz	guirliaz					
loitu	loitu	loitu					
zikindua	ciquindua	ciquindua	zikindu	zikindu	zikindu	zikindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zikindu
elderjarioa	elderjarioa	elderjarioa					
girlijarioa	guirlijarioa	guirlijarioa					
baka	vaca	vaca					
ostaleak	ostaleac	oſtaleac				ostale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ostale
bakailaua	bacallaua	bacallaua					
bareistea	bareistea	bareiſtea					
batzete	batzete	batzete					
Bazeta	Baceta	Baceta					
Batxori dagokana	Bachori dagocana	Bachori dagocana					
tripontzia	triponcia	triponcia			tripontzi	tripontzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tripontzi
jalea	jalea	jalea	jale		jale	jale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jale
edalea	edalea	edalea	edale		edale	edale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edale
aratustea	aratustea	aratuſtea	aratuste		aratuste	aratuste	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aratuste
bakara	bacara	bacara	bakar		bakar	bakar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bakar
bakka	bacca	bacca					
ilera	illera	illerá					
bakkas al kabeilo	baccas al cabello	baccas al cabello					
Batxilera	Bachillera	Bachillerá					
hitzontzia	hitzontzia	hitzontzia	hitzontzi	hitzontzi	hitzontzi	hitzontzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hitzontzi
hizjarioa	hizjarioa	hizjarioa					
berritsua	berritsua	berritſua	berritsu		berritsu	berritsu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berritsu
hitzontzikerian	hitzontziquerian	hitzontziquerian					
berritsukerian egon	berritsuquerian egon	berritſuquerian egon					
hitzontzikeria	hitzontziqueria	hitzontziqueria	hitzontzikeria	hitzontzikeria	hitzontzikeria	hitzontzikeria	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hitzontzikeria
berritsukeria	berritsuqueria	berritſuqueria	berritsukeria	berritsukeria	berritsukeria	berritsukeria	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berritsukeria
baezea	baecea	baecea					
baea	baea	baea					
baia	baya	baya	baia		baia	baia	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baia
ezea	ecea	ecea	eze			eze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eze
Bazia	Bacia	Bacia					
bazikin	baciquin	baciquin					
bai	bai	bai	bai		bai	bai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bai
Cakontzia	Cacontzia	Cacontzia					
tirrina	tirriña	tirriña	tirrin			tirrin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tirrin
ipurpota	ipurpota	ipurpota					
bazia	bacia	bacia	bazi		bazi	bazi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bazi
tirrinaldia	tirriñaldia	tirriñaldia					
ipurpotada	ipurpotada	ipurpotada					
baziatxoa	baciachoa	baciachoa					
burni burukia	burni buruquia	burni buruquia					
kakontzitxoa	cacontzichoa	cacontzichoa					
tirrinatxoa ipurpotatxoa	tirriñachoa ipurpotachoa	tirriñachoa ipurpotachoa					
eskumakila	escumaquilla	eſcumaquilla	eskumakila	eskumakila			
abada	abada	abada				abad	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abad
bada	bada	bada	bada		bada	bada	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bada
jo bada jo	jo bada jo	jo bada jo					
bazal	bazal	bazal					
baldana	baldana	baldana	baldan	baldan	baldan	baldan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baldan
Badana	Badana	Badana					
narru ondua	narru ondua	narru ondua					
larru bigindua	larru biguindua	larru biguindua					
badanaz orraduratua	badanaz orraduratua	badanaz orraduratua					
angurria	angurria	angurria	angurri	angurri	angurri	angurri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=angurri
ilaun	illaun	illaun	ilaun		ilaun	ilaun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ilaun
gelbera	guelbera	guelbera	gelbera	gelbera	gelbera	gelbera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gelbera
ezereza	ecereza	ecereza	ezerez		ezerez	ezerez	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezerez
deus ez izatea	deus ez izatea	deus ez izatea					
zipat	cipat	cipat					
pelapat ez	pelapat ez	pelapat ez					
bertzuna	berzuna	berzuna	bertzun		bertzun	bertzun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bertzun
bartzuna	barzuna	barzuna					
burtzina	burciña	burciña	burtzin	burtzin		burtzin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=burtzin
sumakila	sumaquilla	ſumaquilla				sumakil	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sumakil
baduokela	baduoquela	baduoquela					
badu	badu	badu					
badeu	badeu	badeu					
badau	badau	badau					
okela	oquela	oquela	okela		okela	okela	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=okela
Badulakea	Badulaquea	Badulaquea					
es un badea	es vn badea	es vn badea					
baga	baga	bagá	baga		baga	baga	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baga
je	ge	ge					
bagas	bagas	bagas					
Bagakia	Bagaquia	Bagaquia					
bagaki zaia	bagaqui zaya	bagaqui zaya					
zaina	zayna	zayna	zain		zain	zain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zain
atsa	atsa	atsá				ats	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ats
baga	baga	baga	baga		baga	baga	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baga
Bakatsa	Bacatsa	Bacatſa					
bestezuela	bestezuela	beſtezuela					
pedrezuela	pedrezuela	pedrezuela					
bagatela	bagatela	bagatela					
txiliabilia	chiliabilia	chiliabilia				txiliabili	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txiliabili
txireilkeria	chireilqueria	chireilqueria					
aiztxoria	aizchoria	aizchoria					
baiona	bayona	bayona					
baionean el tzea	bayonean el tzea	bayonean el tzea					
jendatxarra	gendacharra	gendacharra				jendatxar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jendatxar
jendaliak	gendaliac	gendaliac					
bahorrina	bahorrina	bahorrina					
aurra	aurra	aurrá				aur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aur
Chori eistaria	Chori eistaria	Chori eiſtaria					
baiben	vaiven	vaiven					
dantzaria	dantzaria	dantzaria	dantzari		dantzari	dantzari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dantzari
oinkaria	oincaria	oincaria	oinkari	oinkari		oinkari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=oinkari
dantzatu	dantzatu	dantzatu	dantzatu		dantzatu	dantzatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dantzatu
oinkaritu	oincaritu	oincaritu					
besteren nai guziak egin	besteren nai guciac eguin	beſteren nai guciac eguin					
bailador	bailador	bailador					
dantza	dantza	dantzá	dantza		dantza	dantza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dantza
oinkaridea	oincaridea	oincaridea				oinkaride	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=oinkaride
bailea	bailea	bailea	baile			baile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baile
Baitu	Baitu	Baitu					
baitzailea	baitzallea	baitzallea					
bailearen barrutia	bailearen barrutia	bailearen barrutia					
baileajea	baileagea	baileagea					
bailiajeduna	bailiageduna	bailiageduna					
baina	vaina	vaina	baina		baina	baina	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baina
zertxa	cercha	cercha					
zertxea	cerchea	cerchea					
baxar	baxar	baxar					
jatxbi	jachbi	jachbi					
eratsi	eratsi	eratſi	eratsi				
haitsa adi	haitsa adi	haitſa adi					
jatxi adi	jachi adi	jachi adi					
bala atzapartua	bala atzapartua	bala atzapartua					
lopila	lopilla	lopilla				lopil	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lopil
bala goria	bala goria	bala goria					
ulepilak	ulepillac	ulepillac					
agirakaria	aguiracaria	aguiracaria	agirakari			agirakari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=agirakari
antularia	antularia	antularia					
antulaska	antulasca	antulaſca					
agira utsa	aguira utsa	aguira utſa					
antulastu	antulastu	antulaſtu					
agirakatu	aguiracatu	aguiracatu	agirakatu				
agira utsak egin	aguira utsac eguin	aguira utſac eguin					
lastagarra	lastagarra	laſtagarrá					
makilaz zeatu	maquillaz ceatu	maquillaz ceatu					
lastagar pila	lastagar pilla	laſtagar pilla					
bea lantzea	bea lantzea	bea lantzea					
bea	bea	bea	be		be	be	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=be
lantzea	lantzea	lantzea				lantze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lantze
Balantzea	Balancea	Balancea					
bejaistea	bejaistea	bejaiſtea					
balandu	balandu	balandu					
balantzetu	balantzetu	balantzetu					
bejatxi	bejachi	bejachi					
badea	badea	badea					
gurtagara	gurtagara	gurtagara					
gurpertika	gurpertica	gurperticá					
dantzaga	dantzaga	dantzagá					
dantzagaia	dantzagaya	dantzagaya				dantzagai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dantzagai
dantzurruna	dantzurruna	dantzurruna					
kargontzia	cargontzia	cargontzia					
balandra	balandra	balandra					
guzigana	gucigana	guciganá					
soineko luze mota bat	soñeco luce mota bat	ſoñeco luce mota bat					
zalantza	zalanza	zalanzá	zalantza	zalantza	zalantza	zalantza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zalantza
zalantzan nago	zalanzan nago	zalanzan nago					
Balantza	Balanza	Balanzá					
harauna	harauna	harauná					
zalantzan egon aspesean ibili	zalanzan egon aspesean ibilli	zalanzan egon aſpeſean ibilli					
berdinean isfini	berdiñean isfini	berdiñean iſfini					
pisatzailea	pisatzallea	piſatzallea	pisatzaile			pisatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pisatzaile
dendamena	dendamena	dendamena				dendamen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dendamen
saiandea	sayandea	ſayandea				saiande	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=saiande
bearlar	bearlar	bearlar					
bearra	bearra	bearra				bear	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bear
larrea	larrea	larrea	larrea		larre	larre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=larre
Beeka egon	Beeca egon	Beeca egon					
ardiaze beeka egonik	ardiace beeca egonic	ardiace beeca egonic					
eztu jaten belarrik	eztu jaten belarric	eztu jaten belarric					
burniesia	burniesia	burnieſia					
burdinesia	burdinesia	burdineſia					
